Time Stamp,pos X,pos Y,speed X,speed Y
1,0.004687198121482059,697.00000366164,0.004687198121482059,-2.9999963383600603
2,0.029288328748628856,692.00000366164,0.0246011306271468,-5
3,0.09699732929163712,687.00000366164,0.06770900054300827,-5
4,0.23461410713899744,682.00000366164,0.13761677784736032,-5
5,0.46945004629129106,677.00000366164,0.23483593915229364,-5
6,0.8293362050747126,672.00000366164,0.35988615878342156,-5
7,1.3424855943301999,667.00000366164,0.5131493892554873,-5
8,2.0373244872180365,662.00000366164,0.6948388928878368,-5
9,2.94236102268749,657.00000366164,0.9050365354694536,-5
10,4.086045305292403,652.00000366164,1.1436842826049132,-5
11,5.496621300586973,647.00000366164,1.4105759952945705,-5
12,7.2019708660910675,642.00000366164,1.705349565504094,-5
13,9.229450280592731,637.00000366164,2.027479414501664,-5
14,11.605719636236865,632.00000366164,2.3762693556441334,-5
15,14.356565435927866,627.00000366164,2.7508457996910023,-5
16,17.506716691353148,622.00000366164,3.150151255425282,-5
17,21.079654743697716,617.00000366164,3.572938052344567,-5
18,25.09741693028257,612.00000366164,4.017762186584852,-5
19,29.58039409759516,607.00000366164,4.4829771673125896,-5
20,34.547121817536336,602.00000366164,4.966727719941172,-5
21,39.547121817536336,597.00000366164,5,-5
22,44.547121817536336,592.00000366164,5,-5
23,49.547121817536336,587.00000366164,5,-5
24,54.547121817536336,582.00000366164,5,-5
25,59.547121817536336,577.00000366164,5,-5
26,64.54712181753634,572.00000366164,5,-5
27,69.54712181753634,567.00000366164,5,-5
28,74.54712181753634,562.00000366164,5,-5
29,79.54712181753634,557.00000366164,5,-5
30,84.54712181753634,552.00000366164,5,-5
31,89.54712181753634,547.00000366164,5,-5
32,94.54712181753634,542.00000366164,5,-5
33,99.54712181753634,537.00000366164,5,-5
34,104.54712181753634,532.00000366164,5,-5
35,109.54712181753634,527.00000366164,5,-5
36,114.54712181753634,522.00000366164,5,-5
37,119.54712181753634,517.00000366164,5,-5
38,124.54712181753634,512.00000366164,5,-5
39,129.54712181753632,507.00000366164,5,-5
40,134.54712181753632,502.00000366164,5,-5
41,139.54712181753632,497.00000366164,5,-5
42,144.54712181753632,492.00000366164,5,-5
43,149.54712181753632,487.00000366164,5,-5
44,154.54712181753632,482.00000366164,5,-5
45,159.54712181753632,477.00000366164,5,-5
46,164.54712181753632,472.00000366164,5,-5
47,169.54712181753632,467.00000366164,5,-5
48,174.54712181753632,462.00000366164,5,-5
49,179.54712181753632,457.00000366164,5,-5
50,184.54712181753632,452.00000366164,5,-5
51,189.54712181753632,447.00000366164,5,-5
52,194.54712181753632,442.00000366164,5,-5
53,199.54712181753632,437.00000366164,5,-5
54,204.54712181753632,432.00000366164,5,-5
55,209.54712181753632,427.00000366164,5,-5
56,214.54712181753632,422.00000366164,5,-5
57,219.54712181753632,417.00000366164,5,-5
58,224.54712181753632,412.00000366164,5,-5
59,229.54712181753632,407.00000366164,5,-5
60,234.54712181753632,402.00000366164,5,-5
61,239.54712181753632,397.00000366164,5,-5
62,244.54712181753632,392.00000366164,5,-5
63,249.54712181753632,387.00000366164,5,-5
64,254.54712181753632,382.00000366164,5,-5
65,259.5471218175363,377.20482734706246,5,-4.795176314577518
66,264.5471218175363,372.9469336140948,5,-4.257893732967656
67,269.5471218175363,369.5332722124814,5,-3.413661401613398
68,274.5471218175363,367.2266959281311,5,-2.3065762843502657
69,279.5471218175363,366.24105200398276,5,-0.9856439241483537
70,284.5471218175363,366.7431868111959,5,0.5021348072131915
71,289.5471218175363,368.8531432513733,5,2.1099564401773536
72,294.5471218175363,372.646026346906,5,3.7928830955327237
73,299.5471218175363,377.646026346906,5,5
74,304.5471218175363,382.646026346906,5,5
75,309.5471218175363,387.646026346906,5,5
76,314.5471218175363,392.646026346906,5,5
77,319.5471218175363,397.646026346906,5,5
78,324.5471218175363,402.646026346906,5,5
79,329.5471218175363,407.646026346906,5,5
80,334.5471218175363,412.646026346906,5,5
81,339.5471218175363,417.646026346906,5,5
82,344.5471218175363,422.646026346906,5,5
83,349.5471218175363,427.646026346906,5,5
84,354.5471218175363,432.646026346906,5,5
85,359.5471218175363,437.646026346906,5,5
86,364.5471218175363,442.646026346906,5,5
87,369.5471218175363,447.646026346906,5,5
88,374.5471218175363,452.646026346906,5,5
89,379.5471218175363,457.646026346906,5,5
90,384.5471218175363,462.646026346906,5,5
91,389.5471218175363,467.646026346906,5,5
92,394.5471218175363,472.646026346906,5,5
93,399.5471218175363,477.646026346906,5,5
94,404.5471218175363,482.646026346906,5,5
95,409.5471218175363,487.646026346906,5,5
96,414.5471218175363,492.646026346906,5,5
97,419.5471218175363,497.646026346906,5,5
98,424.5471218175363,502.646026346906,5,5
99,429.5471218175363,507.646026346906,5,5
100,434.5471218175363,512.646026346906,5,5
101,439.5471218175363,517.646026346906,5,5
102,444.5471218175363,522.646026346906,5,5
103,449.5471218175363,527.646026346906,5,5
104,454.5471218175363,532.646026346906,5,5
105,459.5471218175363,537.646026346906,5,5
106,464.5471218175363,542.646026346906,5,5
107,469.5471218175363,547.646026346906,5,5
108,474.5471218175363,552.646026346906,5,5
109,479.5471218175363,557.5707373149882,5,4.924710968082218
110,484.5471218175363,562.1967254507337,5,4.625988135745521
111,489.5471218175363,566.3142268759517,5,4.117501425218057
112,494.5471218175363,569.7323870177269,5,3.418160141775174
113,499.5471218175363,572.2823104668762,5,2.549923449149361
114,504.5471218175363,573.8184578105545,5,1.5361473436782418
115,509.5471218175363,574.2190415822329,5,0.4005837716784413
116,514.5471218175363,573.3860269365204,5,-0.8330146457125318
